start_id,end_id,normalized_relation
C1449886,C0439855,BE
C0282534,C0033684,MEDIATE
C0282535,C0033684,MEDIATE
C0079119,C0746922,BE
C0220806,C0227088,BE
C0037083,C0040649,BE
C0040649,C0040649,BE
C0521447,C0040649,BE
C0040649,C0007610,BE
C0031715,C0040649,BE
C0086661,C0040648,BE
C0162508,C0040648,BE
C0079419,C0040648,BE
C0086661,C0017337,BE
C0162508,C0017337,BE
C0079419,C0017262,BE
C0040648,C0012854,BE
C0012854,C0162326,BE
C1149367,C0086860,LOCATE_IN
C0040648,C0220905,BE
C0220905,C0086222,BE
C0086222,C0017337,BE
C1156187,C0017262,BE
C0018284,C0034963,BE
C0018284,C0043240,BE
C0040648,C0040649,BE
C0040648,C0014442,RECRUIT
C0040648,C1333030,RECRUIT
C0040648,C0035681,RECRUIT
C0035681,C1328948,BE
C0018284,C0033684,BE
C0033684,C0007620,BE
C0033684,C0007595,BE
C0033684,C0007590,BE
C1149472,C0597358,MEDIATE
C0597358,C0017337,BE
C0017337,C0007586,BE
C0017337,C0449432,BE
C0018284,C0596290,BE
C0018284,C0007620,BE
C0018284,C0600210,BE
C0018284,C0007589,BE
C0018284,C0179586,BE
C0018284,C1623047,BE
C0018284,C0043240,BE
C0018284,C0334094,BE
C0018284,C0334094,BE
C0062534,C0016030,BE
C0062534,C0007634,BE
C0062534,C0225336,BE
C0062534,C0334094,BE
C0062534,C0334094,BE
C0062534,C0007608,BE
C0062534,C0062534,BE
C0064294,C0681698,BE
C0064294,C1819952,BE
C0064294,C0007589,BE
C0064294,C1565802,BE
C0015350,C0021868,BE
C1521761,C0334094,BE
C4727023,C0033713,BE
C0029016,C0334094,BE
C0029016,C0220781,BE
C0018284,C0043240,BE
C0018284,C0034963,BE
C1280500,C0007621,BE
C0242275,C3849998,BE
C0040691,C3849998,BE
C0242275,C0034802,BE
C0040690,C0034802,BE
C0024432,C0242275,BE
C0024432,C0040690,BE
C0014597,C0242275,BE
C0014597,C0040690,BE
C0242275,C0227525,BE
C0242275,C0016030,BE
C0040690,C0227525,BE
C0040690,C0016030,BE
C0812298,C0243036,REFER_TO_AS
C0812298,C0034802,REFER_TO_AS
C0026882,C0242379,OCCUR_IN
C1517480,C0242379,OCCUR_IN
C0069515,C0069515,REFER_TO_AS
C0069515,C0006142,BE
C0003241,C0006826,BE
C1328819,C0006826,BE
C0062534,C0062534,REFER_TO_AS
C0021760,C0227525,BE
C0021760,C0014597,BE
C0021760,C1622501,BE
C0021760,C0038952,BE
C0016030,C0021760,BE
C1257975,C0021760,BE
C0014257,C0021760,BE
C0036734,C0252186,BE
C0025646,C0021760,RECEPTOR_FOR
C0025646,C1306837,BE
C0025646,C0238463,BE
C0025646,C1306837,BE_MUTATED_IN
C0025646,C0238463,BE_MUTATED_IN
C5446063,C0920425,BE
C0916084,C1513411,ACTIVATE_BY
C1447990,C1513411,ACTIVATE_BY
C0032200,C1515922,BE
C0032173,C0032200,BE
C0001280,C0032200,BE
C0014257,C0032200,BE
C1135918,C0032200,BE
C0032200,C0071253,BE
C0032200,C0071253,BE
C0032200,C1326347,BE
C0032200,C1655807,BE
C0032200,C0334094,BE
C0032200,C0220781,BE
C0032200,C0440752,BE
C1335207,C0138514,BE
C0078058,C0078058,REFER_TO_AS
C0078058,C0302600,BE
C0388176,C0013936,BE
C1335207,C0013936,BE
C0388911,C0302600,BE
C0388911,C1257789,BE
C0004015,C0302600,BE
C0004015,C1257789,BE
C0078058,C0007634,BE
C0078058,C1655807,BE
C0078058,C0595862,BE
C0078058,C0162337,BE
C0242184,C0022023,BE
C0242184,C0215848,BE
C0032200,C0078058,BE
C0040690,C0078058,BE
C1256770,C0378516,BE
C1256770,C0378796,BE
C1256770,C0242275,BE
C0378796,C0302600,BE
C0003241,C0740457,BE
C0003241,C0007102,BE
C0006826,C0302600,BE
C5399960,C0242383,BE
C5399960,C0035309,BE
C5399960,C0730285,BE
C0242383,C4024790,BE
C0442805,C0032914,BE
C0079349,C0079349,BE
C0380603,C0380603,BE
C1565802,C0064294,REFER_TO_AS
C0221135,C0019143,BE
C0019143,C0015350,LOCATE_IN
C0221135,C0016026,BE
C0221135,C0043250,BE
C0221135,C0018951,BE
C0380603,C0302600,BE
C0040690,C0040690,BE
C0040690,C0040690,BE
C0040690,C0040690,BE
C0040690,C0677517,BE
C0053932,C0677517,BE
C0050668,C0677517,BE
C0021463,C0677517,BE
C0687670,C0677517,BE
C0040690,C0033684,BE
C0005821,C0040690,BE
C0014257,C0040690,BE
C0007634,C0040690,BE
C0597304,C0205460,BE
C0076930,C2746015,BE
C2746015,C0031715,BE
C0031715,C0385939,BE
C0040690,C0220781,BE
C0040690,C0220781,BE
C0040690,C0033684,BE
C0040690,C0033684,BE
C0040690,C0021368,BE
C0040690,C0596873,BE
C0040690,C0026606,BE
C0015350,C0033684,BE
C0015350,C0040300,RECRUIT
C0007634,C0243107,BE
C0007634,C0043240,BE
C0015350,C2825961,BE
C0015350,C1622501,BE
C0015350,C0007634,BE
C0015350,C0596290,BE
C0015350,C0018284,BE
C0015350,C0021701,BE
C0699040,C0010853,BE
C0085175,C0887870,RECRUIT
C0001271,C0887870,RECRUIT
C0085182,C0887870,RECRUIT
C1257900,C0037083,BE
C0037083,C0021701,MEDIATE
C3263722,C1257900,BE
C0021368,C1257900,BE
C0678594,C0004799,BE
C0678594,C1179132,BE
C0025255,C1300196,BE
C0205266,C1300196,BE
C0332453,C0017337,BE
C0332453,C4688352,BE
C0927195,C0023890,BE
C0019158,C0927195,BE
C0004799,C0040300,BE
C0004799,C0014609,BE
C0004799,C1947951,RECRUIT
C1947951,C0022646,LOCATE_IN
C0015350,C1167404,BE
C0015350,C0004799,BE
C0699900,C0026559,BE
C0699900,C0017337,BE
C0699900,C0334133,BE
C0699900,C1269955,BE
C1167404,C0040300,LOCATE_IN
C1167404,C1267092,BE
C1257975,C1167404,BE
C0016030,C1257975,BE
C1167404,C0969669,BE_COMPOSED_OF
C1167404,C0969670,BE_COMPOSED_OF
C1167404,C0016055,BE_COMPOSED_OF
C1167404,C0013765,BE_COMPOSED_OF
C1167404,C0033692,BE_COMPOSED_OF
C1167404,C0178695,BE_COMPOSED_OF
C1167404,C0004799,BE
C0004799,C0014609,GENERATE_BY
C0004799,C0007634,GENERATE_BY
C0004799,C0969670,BE_COMPOSED_OF
C0004799,C0022984,BE_COMPOSED_OF
C0015350,C0033684,BE_COMPOSED_OF
C0582263,C0039526,BE
C0582263,C2983697,BE
C0009325,C0582263,BE
C0013765,C0582263,BE
C0033692,C0034693,BE
C0020196,C0034693,BE
C0034693,C0237834,BE
C0034693,C0024069,BE
C0017968,C0013879,BE
C0017968,C0007634,BE
C0009325,C0030956,BE_COMPOSED_OF
C1302674,C0994334,BE
C0332307,C0225328,BE
C0225328,C0020276,BE
C0969669,C0009780,BE
C0009780,C0005931,RECRUIT
C0009780,C0039508,RECRUIT
C0009780,C0007301,RECRUIT
C0009780,C0005847,RECRUIT
C0009780,C0444099,RECRUIT
C0237897,C1017315,BE
C0851285,C0015350,BE
C0225325,C0039526,BE
C0007004,C0037473,BE
C0007004,C0043047,BE
